,Strawberry,Blueberry,Raspberry,Orange,Lime,Mandarin,Banana,Mango,Pineapple,Guava,Kiwi,Peach,Plum,Apricot,Cherry,Watermelon,Muskmelon,Apple,Pear,Spinach,Kale,Lettuce,Broccoli,Cauliflower,Cabbage,Green Peas,Lentils,Chickpeas,Kidney Beans,Carrots,Sweet Potatoes,Beets,Radishes,Potatoes,Yams,Cassava,Butternut Squash,Zucchini,Pumpkin,Cucumber,Tomatoes,Bell Peppers,Eggplants,Garlic,Onion,Chives,Celery,Asparagus,Fennel,Basil,Cilantro,Parsley,Mint,Thyme,Rosemary,Oregano,Ginger,Turmeric,Horseradish,Button Mushrooms,Shiitake Mushrooms,Portobello Mushrooms,Oyster Mushrooms,Alfalfa Sprouts,Bean Sprouts,Broccoli Sprouts,Almond,Cashew,Chestnut,Hazelnut,Pistachio,Walnut,Pine Nut,Sunflower Seed,Pumpkin Seed,Chia Seed,Flax Seed,Sesame Seed,Wheat,Rice,Corn,Barley,Oats,Millet,Salmon,Mackerel,Sardines,Tuna,Cod,Haddock,Tilapia,Halibut,Pollock,Shrimp,Crab,Oysters,Lobster,Mussels,Chicken,Beef,Lamb,Pork,Bacon,Sausage,Ham,Salami,Pepperoni,Whole Milk,Almond Milk,Soy Milk,Cheddar,Mozzarella,Greek Yogurt,Yogurt,Butter,Ghee,Pastries,Cookies,Brownies,Muffins,Bread,Croissants,Ice Cream,Pies,Cakes,Donuts,Cereals,Pancakes,Waffles,Oatmeal,Eggs,Coca Cola,Pepsi,Coffee,Tea,Lemonade,Beer,Mayonnaise,Guacamole,Salsa,Ketchup,Potato Chips,Popcorn,Crackers,Beef Jerky,Burgers,French Fries,Pizza,Chicken Nuggets,Tacos
Bicarbonate,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iron,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.5,1.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5
Globulin,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.3,0.1,0.3,0.3,0.2
Albumin,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,-0.1,-0.1,-0.1,-0.1,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,0.0,-0.1,-0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.2,0.3,-0.1,0.3,0.3,0.2
Total Protein,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.6,0.2,0.5,0.5,0.4,0.7,0.8,0.8,0.8,0.3,0.3,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.3,0.2,0.2,0.3,0.2,0.1,0.1,0.2,0.1,0.3,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.8,0.6,0.2,0.6,0.7,0.6,0.7,0.6,0.7,0.8,0.6,0.6,0.4,0.2,0.3,0.4,0.4,0.3,1.0,1.0,1.0,1.0,0.9,0.9,0.8,0.9,0.8,0.9,0.8,0.7,0.8,0.7,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.7,0.7,0.7,0.2,0.4,0.8,0.8,0.9,0.7,0.2,0.2,-0.5,-0.5,-0.5,-0.5,-0.2,-0.3,-0.5,-0.5,-0.5,-0.5,-0.2,-0.3,-0.3,0.2,0.9,-0.7,-0.7,-0.2,-0.2,-0.5,-0.6,0.2,0.3,0.1,-0.1,-0.5,-0.3,-0.3,0.8,0.7,-0.4,0.5,0.6,0.5
Albumin/Globulin Ratio,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.6,0.3,0.5,0.5,0.4,0.6,0.8,0.8,0.8,0.2,0.2,0.1,0.2,0.2,0.3,0.2,0.3,0.2,0.3,0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.6,0.5,0.2,0.5,0.6,0.5,0.6,0.5,0.6,0.7,0.5,0.5,0.3,0.2,0.3,0.3,0.3,0.2,0.9,0.9,0.9,0.9,0.8,0.8,0.7,0.8,0.7,0.8,0.7,0.6,0.7,0.6,0.9,0.9,0.9,0.9,0.6,0.6,0.6,0.5,0.5,0.5,0.2,0.3,0.7,0.7,0.8,0.6,0.2,0.2,-0.6,-0.6,-0.6,-0.6,-0.3,-0.4,-0.6,-0.6,-0.6,-0.6,-0.3,-0.4,-0.4,0.3,0.8,-0.7,-0.7,-0.2,-0.2,-0.5,-0.6,0.2,0.3,0.1,-0.1,-0.6,-0.4,-0.4,0.6,0.6,-0.5,0.5,0.6,0.5
C-Reactive Protein,-0.5,-0.6,-0.6,-0.5,-0.4,-0.4,0.0,-0.4,-0.3,-0.5,-0.5,-0.4,-0.4,-0.4,-0.5,-0.3,-0.3,-0.4,-0.3,-0.7,-0.8,-0.4,-0.7,-0.6,-0.6,-0.5,-0.6,-0.6,-0.6,-0.4,-0.5,-0.5,-0.4,0.0,-0.4,0.0,-0.5,-0.4,-0.4,-0.3,-0.4,-0.5,-0.4,-0.7,-0.6,-0.5,-0.3,-0.5,-0.4,-0.6,-0.5,-0.5,-0.5,-0.5,-0.6,-0.5,-0.7,-0.8,-0.6,-0.5,-0.6,-0.5,-0.5,-0.4,-0.4,-0.7,-0.6,-0.5,-0.4,-0.5,-0.5,-0.6,-0.5,-0.4,-0.4,-0.6,-0.6,-0.5,0.0,0.0,0.1,-0.3,-0.5,-0.4,-0.7,-0.6,-0.7,-0.6,-0.5,-0.5,-0.4,-0.5,-0.5,-0.4,-0.4,-0.5,-0.4,-0.5,-0.3,0.5,0.5,0.4,0.6,0.6,0.5,0.6,0.6,0.4,-0.4,-0.5,0.3,0.3,-0.5,-0.4,0.5,0.6,0.6,0.6,0.7,0.6,0.4,0.6,0.6,0.6,0.7,0.7,0.4,0.6,0.6,-0.5,0.2,0.8,0.8,-0.2,-0.3,0.3,0.4,0.5,-0.3,-0.4,0.3,0.7,0.4,0.5,0.7,0.7,0.6,0.6,0.6,0.5
Haptoglobin,-0.3,-0.4,-0.4,-0.2,-0.3,-0.3,0.0,-0.2,-0.2,-0.3,-0.3,-0.2,-0.3,-0.2,-0.3,-0.1,-0.1,-0.2,-0.2,-0.6,-0.7,-0.3,-0.6,-0.5,-0.5,-0.4,-0.5,-0.5,-0.5,-0.3,-0.4,-0.4,-0.3,0.0,-0.3,0.0,-0.4,-0.3,-0.3,-0.2,-0.3,-0.4,-0.3,-0.6,-0.5,-0.4,-0.2,-0.4,-0.3,-0.5,-0.4,-0.4,-0.4,-0.4,-0.5,-0.4,-0.6,-0.7,-0.5,-0.4,-0.5,-0.4,-0.4,-0.3,-0.3,-0.6,-0.5,-0.4,-0.3,-0.4,-0.4,-0.5,-0.4,-0.3,-0.3,-0.5,-0.5,-0.4,0.0,0.0,0.1,-0.2,-0.4,-0.3,-0.6,-0.5,-0.6,-0.5,-0.4,-0.4,-0.3,-0.4,-0.4,-0.3,-0.3,-0.4,-0.3,-0.4,-0.2,0.4,0.4,0.3,0.5,0.5,0.4,0.5,0.5,0.3,-0.3,-0.4,0.2,0.2,-0.4,-0.3,0.4,0.5,0.5,0.5,0.6,0.5,0.3,0.5,0.5,0.5,0.6,0.6,0.3,0.5,0.5,-0.4,0.1,0.7,0.7,-0.1,-0.2,0.2,0.3,0.4,-0.2,-0.3,0.2,0.6,0.3,0.4,0.6,0.6,0.5,0.5,0.5,0.4
Transferrin,0.2,0.2,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.2,0.2,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.2,0.2,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,-0.2,-0.2,-0.2,-0.2,0.0,-0.2,-0.2,-0.2,-0.2,-0.2,0.0,-0.2,-0.2,0.0,0.1,-0.3,-0.3,0.0,0.0,-0.2,-0.2,-0.1,0.0,0.0,-0.2,-0.3,-0.2,-0.2,0.1,-0.2,-0.3,-0.2,-0.2,-0.2
C-Peptide,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,-0.2,-0.2,-0.2,-0.2,0.0,-0.2,-0.2,-0.2,-0.2,-0.2,0.0,-0.2,-0.2,0.0,0.1,-0.3,-0.3,0.0,0.0,-0.2,-0.2,-0.1,0.0,0.0,-0.2,-0.3,-0.2,-0.2,0.1,-0.2,-0.3,-0.2,-0.2,-0.2
Testosterone,0.1,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.2,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.0,-0.2,0.1,0.1,0.1,0.1,0.1,0.1,-0.2,-0.2,-0.2,-0.2,0.0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.1,-0.2,-0.2,0.0,0.1,-0.3,-0.3,0.0,0.0,-0.2,-0.2,-0.1,0.1,0.0,-0.1,-0.3,-0.2,-0.2,0.1,0.1,-0.2,-0.2,-0.1,0.0
Estrogen,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Progesterone,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Cortisol,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1
Aldosterone,0.1,0.2,0.1,0.1,0.2,0.1,0.3,0.2,0.3,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,-0.2,-0.3,-0.1,-0.2,-0.2,-0.1,0.1,0.2,0.2,0.1,0.1,0.2,0.1,-0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.1,-0.1,-0.2,-0.1,-0.1,-0.2,-0.1,0.1,0.1,-0.1,0.1,0.1,0.1,0.1,0.1,-0.2,-0.1,0.1,0.1,0.1,0.1,0.1,0.1,-0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2
Thyroid-Stimulating Hormone (TSH),0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,-0.1,-0.2,-0.1,-0.2,-0.2,-0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.1,-0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,-0.1,-0.2,-0.1,-0.1,-0.1,-0.1,0.2,0.2,-0.1,0.2,0.2,0.2,0.2,0.2,-0.2,-0.1,0.2,0.2,0.2,0.2,0.2,0.2,-0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Free Thyroxine (Free T4),0.1,0.2,0.2,0.3,0.2,0.3,0.1,0.2,0.3,0.1,0.2,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.3,0.3,0.1,0.3,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.1,0.1,0.2,0.1,0.3,0.1,0.2,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,-0.1,-0.1,-0.1,-0.1,-0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.2,-0.3,-0.3,-0.2,0.1,-0.3,-0.3,-0.2,-0.1,-0.2,-0.2,-0.2,0.1,0.1,-0.2,-0.3,-0.2,-0.2,-0.1,-0.3,-0.3,-0.3,-0.2,-0.2
Free Triiodothyronine (Free T3),0.1,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,-0.1,-0.1,-0.1,-0.1,-0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.2,-0.3,-0.3,-0.2,0.1,-0.3,-0.3,-0.2,-0.1,-0.2,-0.2,-0.2,0.1,0.1,-0.2,-0.3,-0.2,-0.2,-0.1,-0.3,-0.3,-0.3,-0.2,-0.2
Aspartate Aminotransferase,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Alanine Aminotransferase,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
