Name,Id,Blood Glucose,Hemoglobin A1c,Glycated Albumin,Total Cholesterol,LDL Cholesterol,HDL Cholesterol,Triglycerides,Apolipoprotein A1,Apolipoprotein B,Vitamin D,Vitamin C,Vitamin K,Vitamin B6 (Pyridoxine),Vitamin B1 (Thiamine),Vitamin B2 (Riboflavin),Vitamin B3 (Niacin),Vitamin B5 (Pantothenic Acid),Vitamin B7 (Biotin),Vitamin B9 (Folate),Vitamin B12 (Cobalamin),Vitamin A,Creatinine,Uric Acid,Blood Urea Nitrogen,Cystatin C,Sodium,Potassium,Calcium,Magnesium,Phosphate,Chloride,Bicarbonate,Iron,Globulin,Albumin,Total Protein,Albumin/Globulin Ratio,C-Reactive Protein,Haptoglobin,Transferrin,C-Peptide,Testosterone,Estrogen,Progesterone,Cortisol,Aldosterone,Thyroid-Stimulating Hormone (TSH),Free Thyroxine (Free T4),Free Triiodothyronine (Free T3),Aspartate Aminotransferase,Alanine Aminotransferase,Alkaline Phosphatase,Gamma-Glutamyl Transferase,Bilirubin,Lactate Dehydrogenase,Prothrombin Time,Partial Thromboplastin Time,Fibrinogen
Rice,7c2d9d4b-b8b8-466c-8277-e0e5fe4a1553,1,1,1,0,0,-1,1,-1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Corn,25e72072-0d79-4bcb-88d2-1ff4283bdfa8,1,1,1,0,0,-1,1,-1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
Barley,e4286675-f9c2-4425-a298-a8ec18435fca,1,1,1,-1,-1,0,-1,0,-1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
Oats,1671d5cf-0337-4228-8893-c675e0160144,1,1,1,-1,-1,0,-1,0,-1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Millet,606816db-e72c-4d17-a9f2-37775637e189,1,1,1,0,0,-1,1,-1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salmon,9ec78a33-2bee-4e89-9058-f70a2354edd9,-1,-1,-1,-1,-1,1,-1,1,-1,1,0,1,1,0,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Mackerel,cc231280-cdd5-4fed-9538-b07fc3db6772,-1,-1,-1,-1,-1,1,-1,1,-1,1,0,0,0,1,1,1,0,0,0,1,1,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0
Sardines,b6568f15-7718-404e-ab0b-3bb8b8396dab,-1,-1,-1,-1,-1,1,-1,1,-1,1,0,0,0,0,0,1,0,0,0,1,0,-1,-1,-1,-1,-1,1,1,1,1,0,0,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,1,0,-1,0,-1
Tuna,5adb3226-1e0f-4887-93e2-db2d7232b67a,0,-1,-1,-1,-1,1,-1,1,-1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,0,1,1,0,0,0,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0
Cod,96e5df05-d995-40d6-a425-e919ee8812c4,-1,-1,0,-1,-1,0,-1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,0,1,-1,-1,-1,1,-1,0
Haddock,7fe57153-324b-4020-8f15-edce5bee9658,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Tilapia,491baec2-2f30-4aa6-9091-ac84e3903d9b,0,0,0,-1,-1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Halibut,ce668a2b-4e6a-4ac5-9533-51075939314a,-1,-1,0,-1,-1,0,-1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1
Pollock,29197f53-ccc6-4acb-a04a-8e5a83d83722,-1,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0
Shrimp,83afd958-8a58-4094-9856-07d7fca8b4c2,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,-1,0,-1,0,-1,1,-1,0
Crab,1da6cbc0-9c51-407d-a352-e27f8a0f9652,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-1
Oysters,474aa447-974b-4667-88ac-9bafd795de2a,1,0,0,-1,0,1,-1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,-1,-1,-1,-1,-1,0,1,0,1,0,0,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,0,-1,0,-1,0,-1,0,1
Lobster,38e02254-def6-4a92-9789-7ce23f912ead,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Mussels,a566b113-65d0-4805-bcaf-6e8764055f68,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1
Chicken,e0b7f831-5c2f-4906-81fb-6d1ce37204fa,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,1,1,1,1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1
Beef,51cc44cf-7923-4700-a239-ee4bd40a4f8a,1,1,1,1,1,-1,1,-1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,1
Lamb,1a422994-ab07-44bf-b843-01533def3cb5,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,0,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,-1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,1
Pork,8d5d540b-8703-4033-8dc2-1fadcc3eba23,1,1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,-1,1,-1,-1,1,-1,-1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,1
Bacon,c8890c99-c3c6-453b-9b52-05e3aa089aab,1,1,1,1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,1,1,-1,1,1,1,-1,1,1,1,-1,-1,1,1,1,1,1,1,-1,-1,1
Sausage,a2b8d9c3-ccd8-417e-a9d1-6fefe2f73c63,1,1,1,1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,1,1,-1,1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,1,1,-1,-1,1
Ham,dbb4de3b-1d36-42eb-8b71-2f595f299af0,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1
Salami,ff7bd4b0-bc0d-4212-b24c-870e74706bbe,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,1,1,-1,1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,1,1,-1,-1,1
Pepperoni,4d591051-ac2b-4d5f-b947-3439d3d29330,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,1,1,-1,1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,1,1,-1,-1,1
Whole Milk,7449e87e-f75f-45e3-97a8-2c782f60442d,1,1,1,1,1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,-1,1,1,1,-1,-1,1,-1,1,-1,1
Almond Milk,9a1b71ec-731e-4ed2-b785-3abd4cee5cac,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Soy Milk,020c8499-0257-4a5a-ad90-ffc45ce2c7d5,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cheddar,579598e1-1a0e-4796-b1cb-bcbfe3df681b,0,0,0,1,1,-1,1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mozzarella,8b31db12-a064-4cf7-b66c-92201ee2d5dd,-1,-1,-1,1,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Greek Yogurt,e6a060ca-d970-4899-946a-2bbba5bd5699,1,1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,-1,1,1,1,1
Yogurt,382f8039-a56f-499b-97ac-ccc38e09681f,1,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Butter,9f5d6cb0-8009-4a2c-93f1-c73ff9cb7da5,0,0,0,1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1
Ghee,b5fe1dc3-2306-4fdb-ad8f-e642ae19da5d,0,0,0,1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Pastries,f2514646-cd38-4e43-a58e-0fc572a8df62,1,1,1,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,-1,1,-1,-1,1
Cookies,b07f91ac-3e09-4292-b546-d786d21ace9f,1,1,1,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,-1,1,-1,-1,1
Brownies,f2fd378c-e896-452a-9207-24ea64550f04,1,1,1,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,-1,1,-1,-1,1
Muffins,63142658-cefe-42be-be12-bda374350241,1,1,1,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,-1,1,-1,-1,1
Bread,7eb21a3b-1df4-4887-9350-e2b41910530c,1,1,1,0,0,-1,1,-1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,1,1,1,-1,-1,0,0,0,0,-1,0,-1,-1,0
Croissants,f0fb0bb3-569f-42c0-90ba-4b3f2dfa6349,1,1,1,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,-1,1,-1,-1,1
Ice Cream,c290405c-1d30-4a69-9965-8c9f77aa4d66,1,1,1,0,0,-1,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,-1,1,-1,-1,1
Pies,135edd82-c9ff-4cfa-ad25-bed96ef7de27,1,1,1,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,-1,1,-1,-1,1
Cakes,31309b3e-3b9f-4140-862d-af50c559c4b4,1,1,1,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,-1,1,-1,-1,1
Donuts,59f3b77b-88ff-481c-9739-deef9d9a3b46,1,1,1,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,-1,1,-1,-1,1
Cereals,136d4b21-188e-4ee6-bad2-cdbf48d77f82,1,1,1,-1,-1,-1,1,-1,-1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,-1,1,-1,-1,1
Pancakes,3648a19d-87e8-4626-90f8-8364c5c6ee9c,1,1,1,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,-1,1,-1,-1,1
Waffles,80ec548d-9cfa-45b5-9653-36e9d942901f,1,1,1,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,-1,1,-1,-1,1
Oatmeal,4d37053b-53b8-457c-b663-f71e97969502,1,1,1,-1,-1,0,0,0,-1,0,0,0,1,1,1,1,1,1,1,0,0,-1,-1,-1,-1,-1,1,0,1,-1,-1,1,1,1,1,1,0,-1,-1,1,-1,0,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Eggs,d9efbe47-5ee5-4435-b703-2eefbd991279,-1,-1,-1,-1,-1,1,-1,1,-1,1,0,1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,1,1,1,-1,-1,1,1,1,1,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Coca Cola,05158bd1-5667-4353-940d-072ecf187a39,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,0,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,0,-1,1,1,1,-1,-1,1,1,1,1,-1,1,-1,-1,1
Pepsi,81ed6155-1e25-451f-bd12-55f6132ea53a,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,0,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,0,-1,1,1,1,-1,-1,1,1,1,1,-1,1,-1,-1,1
Coffee,4e250df8-8ad9-4673-bd38-4d4f2e89b896,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,0,0,0,0,-1,-1,0,-1,0,-1,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Tea,46825733-e945-4044-9478-0b65181a0a72,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,-1,-1,1,-1,0,0,0,0,-1,-1,0,-1,0,-1,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Lemonade,0a160c4a-84bd-425c-86d1-47cc8909a0dd,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,-1,1,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Beer,ee95a1ab-0374-4dcc-9bef-b672bca3dd59,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,0,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1
Mayonnaise,be16b0d5-87a7-423b-82a1-128fe4587f6f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,0
Guacamole,7ee99c40-4f2f-4534-8932-d3584408260c,0,0,0,-1,-1,0,0,0,-1,0,1,1,0,0,0,0,0,0,1,0,1,-1,-1,-1,-1,-1,1,0,1,-1,-1,1,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Salsa,26ca3b31-69e0-4f21-b5e0-e2efb5e5d6eb,0,0,0,-1,-1,0,0,0,-1,0,1,1,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,1,0,1,-1,-1,1,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Ketchup,d04be8a7-d318-4cee-bdc1-f772904ccdb1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,0
Potato Chips,14d4cadb-88ad-473c-85db-90e3bc48bd34,1,1,1,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,-1,-1,-1,-1,1,1,-1,1,0,0,0,0,1,0,0,0,1,1,1,1,-1,1,-1,-1,1
Popcorn,9b2e11c7-a05c-4c63-8145-0c7d5371be50,1,1,1,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Crackers,8f59f836-17fa-4d7e-8e79-9d454dbaf947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Beef Jerky,46d36da3-0edf-4f7f-a3b6-4c58c6b7c106,-1,-1,-1,1,1,1,-1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,-1,1,1,1,1,1,0,0,1,0,1,-1,1,0,0,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Burgers,fcba8a03-1024-466a-8543-1d9145734f3a,-1,-1,-1,1,1,1,-1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,1
French Fries,09199fa3-225f-44ae-be7f-56c9e886954c,1,1,1,1,1,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,-1,0,1,0,0,-1,-1,-1,-1,1,1,-1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
Pizza,d5383e2f-d934-4ebf-9593-2b06ed68a560,1,1,1,1,1,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,-1,-1,-1,-1,1,1,-1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
Chicken Nuggets,b67ae6de-0ade-409c-8dda-368752748da0,-1,-1,-1,1,1,1,-1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,-1,0,1,1,1,1,1,1,1,1,1,-1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,1
Tacos,59e56f30-d7a1-460d-a26d-7c5d164e70f5,-1,-1,-1,1,1,1,-1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,1
